"","player_name","inch_height","wt"
"1","Tom Brady",76,211
"2","Marc Bulger",74,208
"3","Giovanni Carmazzi",75,224
"4","Joe Hamilton",70,192
"5","Todd Husak",75,216
"6","Jarious Jackson",72,226
"7","Tee Martin",74,227
"8","Chad Pennington",75,229
"9","Tim Rattay",72,215
"10","Chris Redman",75,222
"11","Spergon Wynn",75,229
"12","Josh Booty",74,221
"13","Drew Brees",72,213
"14","Quincy Carter",74,225
"15","Josh Heupel",74,215
"16","Mike McMahon",74,207
"17","Jesse Palmer",74,231
"18","Sage Rosenfels",76,228
"19","Marques Tuiasosopo",73,223
"20","Michael Vick",72,210
"21","Chris Weinke",76,226
"22","David Carr",75,223
"23","Ronald Curry",74,220
"24","Rohan Davey",74,245
"25","Brandon Doman",74,210
"26","Randy Fasani",75,224
"27","David Garrard",74,235
"28","Joey Harrington",76,215
"29","Kurt Kittner",74,221
"30","Josh McCown",76,221
"31","J.T. O'Sullivan",74,223
"32","Patrick Ramsey",74,219
"33","Kyle Boller",75,234
"34","Ken Dorsey",77,208
"35","Rex Grossman",73,217
"36","Kliff Kingsbury",75,213
"37","Byron Leftwich",77,241
"38","Carson Palmer",77,232
"39","Dave Ragone",76,249
"40","Chris Simms",76,220
"41","Seneca Wallace",71,196
"42","Josh Harris",73,238
"43","Craig Krenzel",75,228
"44","J.P. Losman",74,224
"45","Eli Manning",77,221
"46","Matt Mauck",74,228
"47","Luke McCown",76,208
"48","John Navarre",78,246
"49","Bradlee Van Pelt",74,231
"50","Cody Pickett",75,233
"51","Philip Rivers",77,229
"52","Ben Roethlisberger",77,241
"53","Matt Schaub",78,243
"54","Jeff Smoker",75,223
"55","B.J. Symons",72,210
"56","Derek Anderson",78,242
"57","Jason Campbell",77,230
"58","Ryan Fitzpatrick",74,232
"59","Charlie Frye",76,225
"60","David Greene",75,226
"61","Stefan LeFors",72,208
"62","Adrian McPherson",75,218
"63","Dan Orlovsky",77,225
"64","Kyle Orton",76,233
"65","Aaron Rodgers",74,223
"66","Alex Smith",76,217
"67","Andrew Walter",78,233
"68","Kellen Clemens",74,224
"69","Brodie Croyle",74,205
"70","Jay Cutler",75,226
"71","Bruce Gradkowski",73,217
"72","Tarvaris Jackson",74,226
"73","Omar Jacobs",76,232
"74","Matt Leinart",77,223
"75","Ingle Martin",74,220
"76","Reggie McNeal",74,198
"77","D.J. Shockley",73,214
"78","Charlie Whitehurst",77,223
"79","Vince Young",77,229
"80","John Beck",74,215
"81","Trent Edwards",76,231
"82","Kevin Kolb",75,218
"83","Jordan Palmer",78,231
"84","Brady Quinn",76,232
"85","Jeff Rowe",77,226
"86","JaMarcus Russell",77,265
"87","Troy Smith",72,225
"88","Isaiah Stanback",74,216
"89","Drew Stanton",75,226
"90","Erik Ainge",77,225
"91","Colt Brennan",74,207
"92","Alex Brink",74,211
"93","Brian Brohm",75,230
"94","Dennis Dixon",75,195
"95","Joe Flacco",78,236
"96","Matt Flynn",74,231
"97","Chad Henne",75,230
"98","Josh Johnson",75,213
"99","Kevin O'Connell",77,225
"100","Matt Ryan",77,228
"101","Andre Woodson",76,229
"102","Rhett Bomar",74,225
"103","Tom Brandstater",77,220
"104","Nate Davis",73,226
"105","Josh Freeman",78,248
"106","Stephen McGee",75,225
"107","Curtis Painter",75,225
"108","Mark Sanchez",74,227
"109","Matthew Stafford",74,225
"110","Pat White",72,197
"111","Sam Bradford",76,236
"112","Levi Brown",75,229
"113","Sean Canfield",76,223
"114","Jimmy Clausen",75,222
"115","Mike Kafka",75,225
"116","Dan LeFevour",75,230
"117","Colt McCoy",73,216
"118","Tony Pike",78,223
"119","Zac Robinson",74,214
"120","John Skelton",77,243
"121","Tim Tebow",75,236
"122","Andy Dalton",74,215
"123","Nathan Enderle",76,240
"124","Blaine Gabbert",76,234
"125","Colin Kaepernick",77,233
"126","Jake Locker",74,231
"127","Ryan Mallett",79,253
"128","Greg McElroy",74,220
"129","Cam Newton",77,248
"130","Christian Ponder",74,229
"131","Ricky Stanzi",76,223
"132","Tyrod Taylor",73,217
"133","T.J. Yates",75,219
"134","B.J. Coleman",75,233
"135","Kirk Cousins",75,214
"136","Nick Foles",77,243
"137","Robert Griffin",74,223
"138","Chandler Harnish",74,219
"139","Ryan Lindley",76,229
"140","Andrew Luck",76,234
"141","Brock Osweiler",79,242
"142","Ryan Tannehill",76,221
"143","Brandon Weeden",75,221
"144","Russell Wilson",71,204
"145","Matt Barkley",74,227
"146","Zac Dysert",75,231
"147","Mike Glennon",79,225
"148","Landry Jones",76,225
"149","E.J. Manuel",77,237
"150","Ryan Nassib",74,227
"151","Sean Renfree",75,219
"152","Geno Smith",74,218
"153","Brad Sorensen",76,229
"154","Tyler Wilson",74,215
"155","Blake Bortles",77,232
"156","Tajh Boyd",73,222
"157","Teddy Bridgewater",74,214
"158","Derek Carr",74,214
"159","David Fales",74,212
"160","Jimmy Garoppolo",74,226
"161","Johnny Manziel",72,207
"162","A.J. McCarron",75,220
"163","Zach Mettenberger",77,224
"164","Aaron Murray",72,207
"165","Tom Savage",76,228
"166","Logan Thomas",78,248
"167","Keith Wenning",75,218
"168","Garrett Grayson",74,213
"169","Brett Hundley",75,226
"170","Sean Mannion",78,229
"171","Marcus Mariota",76,222
"172","Bryce Petty",75,230
"173","Jameis Winston",76,231
"174","Brandon Allen",73,217
"175","Jacoby Brissett",76,231
"176","Connor Cook",76,217
"177","Brandon Doughty",75,213
"178","Jeff Driskel",76,234
"179","Jared Goff",76,215
"180","Christian Hackenberg",76,223
"181","Kevin Hogan",75,218
"182","Cardale Jones",77,253
"183","Cody Kessler",73,220
"184","Paxton Lynch",79,244
"185","Dak Prescott",74,226
"186","Nate Sudfeld",78,234
"187","Carson Wentz",77,237
"188","C.J. Beathard",74,219
"189","Joshua Dobbs",75,216
"190","Brad Kaaya",76,214
"191","DeShone Kizer",76,233
"192","Patrick Mahomes",74,225
"193","Nathan Peterman",74,226
"194","Mitchell Trubisky",74,222
"195","Deshaun Watson",74,221
"196","Davis Webb",77,229
"197","Josh Allen",77,237
"198","Sam Darnold",75,221
"199","Danny Etling",74,222
"200","Luke Falk",76,215
"201","Lamar Jackson",74,216
"202","Kyle Lauletta",75,222
"203","Tanner Lee",76,218
"204","Baker Mayfield",73,215
"205","Josh Rosen",76,226
"206","Mason Rudolph",77,235
"207","Mike White",77,224
"208","Logan Woodside",73,213
"209","Ryan Finley",76,213
"210","Will Grier",74,217
"211","Dwayne Haskins",75,231
"212","Daniel Jones",77,221
"213","Drew Lock",76,228
"214","Trace McSorley",72,202
"215","Gardner Minshew",73,225
"216","Kyler Murray",70,207
"217","Easton Stick",73,224
"218","Jarrett Stidham",74,218
"219","Clayton Thorson",76,222
"220","Joe Burrow",75,221
"221","Jacob Eason",78,231
"222","Jake Fromm",74,219
"223","Justin Herbert",78,236
"224","Jalen Hurts",73,222
"225","Jordan Love",76,224
"226","Jake Luton",78,224
"227","Cole McDonald",75,215
"228","James Morgan",76,229
"229","Nate Stanley",76,235
"230","Tua Tagovailoa",72,217
"231","Ian Book",72,211
"232","Sam Ehlinger",73,220
"233","Justin Fields",74,227
"234","Mac Jones",74,217
"235","Trey Lance",75,224
"236","Trevor Lawrence",77,213
"237","Davis Mills",75,217
"238","Kyle Trask",77,236
"239","Zach Wilson",74,214
